sentence,start_time,end_time
"Oké, tosti, driehoer, krul.",1453.7,1456.0
"Krul, aap, rob, ster of zon.",1455.58,1458.96
"Vogel, schildpad, baby.",1459.86,1461.92
Check.,1461.92,1462.5
De opdracht was om zoek te gaan naar die bordjes.,1462.6,1464.88
En die bordjes waren vastgemaakt aan boeien in het water.,1464.96,1468.9
Als we negen identieke plaatjes hadden gevonden... dan zouden we de puzzel compleet kunnen maken.,1469.32,1474.82
Met je aanwijzing aan de captain.,1475.6,1477.38
"Oké, Mario.",1478.1,1478.9
We take a left here.,1478.9,1480.08
Even checken.,1481.52,1482.6
Boot C.,1482.6,1483.44
Boot Cecile.,1483.44,1484.4
"Oké, slow down, slow down.",1484.58,1486.22
Boot C gaat alvast een beetje voor op boot T.,1486.32,1489.26
Ik had de porto nog niet eerder gehad in een opdracht.,1489.46,1492.58
"En ehm, ja, er kon eigenlijk weinig misgaan.",1493.26,1496.76
"Oh, het gaat diep, hè?",1498.64,1500.44
"Jeetje, kijk die vogel.",1500.8,1502.2
We zijn ergens een baai in gegaan op zoek naar tekens.,1503.12,1506.66
"Prachtig kalm water, prachtige mangroven.",1506.92,1510.22
Van grovers.,1509.58,1510.38
"Oh, is het hier mooi!",1512.48,1514.42
Ik had het gevoel dat Johnny Depp met Black Pearl van de zijkant het beeld in kon komen schieten.,1514.94,1520.82
Want het was echt letterlijk Pirates of the Caribbean.,1521.18,1522.9
"Hoge cliffs overal, grotten, spelonken.",1523.24,1526.78
Pelikanen die eerst hoog in de lucht vlogen en dan in één keer naar beneden gingen om wat te eten uit het water.,1528.6,1534.42
Echt prachtig.,1534.78,1535.92
Het was echt een droom.,1536.24,1538.62
"En dan vergeet je af en toe, oh ja, moet ook nog wat doen.",1538.58,1542.04
"Boot A, Annemiek, kom er eens uit.",1542.3,1544.04
Er is echt niks.,1544.8,1545.64
Ben je daar niet achter?,1545.66,1546.48
"Nee, echt niet.",1546.58,1547.28
Maar daar?,1547.3,1547.72
"Nee, schat.",1548.44,1548.94
Oké.,1549.3,1549.58
Je moet volgens mij echt een boei kunnen zien.,1549.94,1551.54
"Ja, ja, ja, maar goed, hij kan daar liggen.",1551.68,1553.14
"Boot A, Annemiek, kom er eens uit.",1554.76,1557.92
Over.,1557.92,1558.42
"Boot A, kom er eens in.",1562.1,1564.08
En er gebeurde helemaal niks.,1564.3,1566.82
"Annemiek, één toegediscipline.",1566.68,1568.8
Kom er eens uit.,1568.8,1569.7
Niet tussendoor?,1569.7,1570.44
Nee.,1570.44,1571.28
Zij zijn bij de eilanden geweest.,1571.84,1573.14
Ze zijn er naar links geklaagd.,1575.84,1577.44
Ik heb allebei de kant al bekeken.,1577.44,1579.42
Nou ja.,1580.2,1581.86
"Ja, ja, ja, ja, ja, ja.",1582.84,1584.42
Team C heeft beet.,1584.86,1586.08
We zien een boei.,1586.08,1586.9
Yes.,1587.16,1587.88
Cécile heeft een boei.,1588.66,1590.06
En er hebben wel meerdere trouwens.,1590.06,1592.32
"En uiteindelijk, net toen ik dacht, dit gaat gewoon niet meer lukken...",1592.56,1595.18
Toen kwamen we bij een baai waar meerdere oranje boeien waren.,1594.68,1599.46
"Oké, dan gaan we aan jullie toe.",1600.18,1601.66
Hoe zien die boeien eruit?,1601.66,1603.26
Oranje en rood.,1603.34,1604.66
"Oké, dit is het aapje.",1605.52,1607.92
"Het is niet het goede aapje, volgens mij.",1607.92,1609.68
Kijk eens.,1609.8,1610.34
Het is niet goed.,1611.38,1612.66
"Het is niet goed, die van ons.",1612.66,1615.22
Het is een aapje met de baardharen naar de zijkant.,1615.26,1618.26
"Ze hadden een aapje met de baardharen naar rechts, naar de zijkant.",1618.76,1622.96
Dat is niet de goeie.,1622.68,1624.3
"Ja, een boei.",1624.94,1626.0
Ik zie nog een boei.,1626.0,1627.42
"Om het ellilust te spreken, wij waren als eerste ter plaatse, Cecile en ik.",1627.58,1631.46
Gelukkig kwamen Tim en Taka ook vrij snel.,1631.88,1634.72
"Daar, daar, daar.",1634.78,1635.82
"Oké, hebben ze.",1635.82,1637.84
"Maar team Annemiek, Marjolein en Rob bleven om mysterieuze wijze vrij achter.",1638.02,1643.46
Maar zie je hun boei?,1644.86,1646.78
Nee.,1646.78,1647.34
Die hebben we.,1649.18,1649.82
Die was de baard.,1649.82,1651.22
De baard.,1650.68,1651.2
"Links midden, toch?",1651.2,1652.46
Andersom.,1652.52,1653.98
Het eerste teken was de man met de baard.,1654.48,1658.36
"Ja, ik heb hem onthouden als de baard.",1658.46,1660.26
Deze is goed.,1660.52,1661.14
"Cecile, kijk eens.",1661.14,1662.02
Die is goed.,1662.58,1663.36
We hebben een goeie!,1663.36,1664.32
Ik hield er eentje omhoog.,1664.38,1665.3
"Cecile, volgens mij is deze oké.",1665.3,1666.76
Is die oké?,1666.84,1667.48
Check.,1667.48,1668.02
Huppakee.,1668.02,1668.56
Naar binnen.,1668.56,1669.14
Daar ligt ze nog even.,1669.24,1670.46
Toen kwamen we al vrij snel boeit twee tegen.,1671.3,1673.54
Deze moest ook hebben.,1674.32,1675.22
"Eén, twee, drie.",1675.22,1676.0
Die mist.,1676.0,1676.58
De tv-antenne met de drie kruisjes aan stokjes eraan.,1676.78,1680.34
Daar was het alweer.,1679.68,1681.4
Dit is...,1681.4,1682.56
"Nee, helaas.",1684.88,1686.36
Ligt bij het eilandje in de baai waar we nu zijn.,1687.16,1690.72
"Kijk even waar we uit zijn, boot A.",1690.82,1692.68
Die is fout.,1692.68,1694.28
"We hebben een derde goeie, het lieve heersbeestje.",1694.34,1697.32
Beter bekend als Rob.,1697.4,1699.2
Daar ligt er nog één.,1699.32,1700.44
Hebben we die al gehad?,1700.44,1701.52
"Nee, ligt daar.",1701.74,1703.16
Dat is een acht.,1703.22,1704.22
Staat er nog iets op de achterkant?,1704.22,1705.76
Rechts.,1706.02,1706.62
"Daar, nog eentje.",1707.54,1708.42
Zie je hem met vinger?,1708.42,1709.2
Wij hadden gewoon de hele tijd of pech of er lag een verkeerde.,1709.4,1713.98
"Schildpad, is goed.",1714.7,1716.04
Is goed.,1716.04,1716.56
Heeft-ie de pootjes gebogen?,1716.86,1718.28
"Zo, boven, boven, onder zo.",1718.44,1720.06
Dit is toch goed?,1720.06,1720.76
"Ja, ja.",1721.46,1722.08
Team C heeft de schildpad over.,1723.16,1725.66
Top.,1726.2,1726.66
Zet de schildpad.,1726.66,1727.84
Ja.,1727.84,1727.98
Binnen no time hadden wij vijf van die houten blokjes meegenomen.,1728.18,1732.48
Maar ik vind het leuk!,1732.56,1733.74
"Eén, twee, drie, vier, vijf.",1733.86,1735.4
Lekker bezig.,1737.08,1738.18
Lekker bezig.,1737.4,1738.06
"Zul je vieze uitslovers dat we zijn, dan verdent niemand ons meer.",1738.08,1741.1
Yes!,1741.24,1741.64
"Ja, mooi zo.",1741.64,1743.44
Wij hebben er drie over.,1744.92,1746.82
"Moeten we misschien even bij boot A bij elkaar komen, over?",1747.34,1750.3
Goed idee.,1750.96,1751.92
Wij gaan stilliggen.,1751.92,1753.74
We zijn met z'n drieën naar elkaar toegevaren.,1758.76,1761.62
Hallo.,1761.74,1762.16
Hoi.,1762.16,1762.88
Wij zijn Tim en Take.,1762.88,1764.46
Pak hem.,1765.22,1765.8
Hebben.,1766.4,1767.04
Die zat hier.,1768.28,1769.38
"Baby, mannetje, tosti.",1769.38,1771.84
En wij hadden een soort letterbak bij ons.,1772.14,1774.76
En in die letterbak zouden alle tekens gezet moeten worden.,1775.16,1778.02
Zodat we uiteindelijk een soort oplossing zouden vinden.,1778.08,1780.9
"Want als we die tekens om zouden draaien, als het goed is... zou er dan een schatkaart uitkomen.",1780.98,1785.9
"Ja, die zat hieronder.",1785.94,1786.84
Ja.,1786.84,1787.28
Dat is Rob.,1788.04,1789.22
Maar Rob is verkeerd op.,1789.22,1790.1
"Nee, andersom.",1790.22,1790.86
Het is onder het recht.,1790.86,1791.8
"Jij weet het, maar ik leg het niet op.",1791.9,1792.9
Er waren er nog vijf gescoord waarvan bleek dat Klaas en Cecile er vijf hadden gescoord en het team van Annemieke er nul had gescoord.,1793.4,1802.92
Eentje missen is niet zo heel erg.,1803.02,1804.38
"Nee, maar als je die tosti nu rechtsboven legt...",1804.46,1806.74
"Hey, Boca del Tiburón.",1806.78,1808.4
Boca del Tiburón staat er nog.,1808.4,1810.16
Dit is een hele goeie.,1810.24,1810.6
Wat is de Boca del Tiburón?,1810.6,1813.26
Er stond een kruis en Boca Tiburón.,1813.32,1816.18
Oftewel haaienbek.,1816.46,1818.44
Boca del Tiburón?,1818.58,1819.8
Bocca del Tiburon.,1820.4,1821.84
Bocca del Tiburon.,1821.84,1823.5
Bocca del Tiburon.,1823.68,1825.08
En we hadden 113 als code.,1825.2,1827.94
Waarom hebben we een code?,1828.12,1829.32
"En toen dacht ik, hey, cijferslot.",1829.58,1831.78
Wat nou als we gewoon weer een kist hebben?,1832.02,1834.02
Dat is bij een hele snelle vaart erheen.,1838.66,1842.16
"Oh, tof.",1845.74,1848.2
Is het dit?,1848.82,1849.7
Ja.,1849.7,1850.16
"Ja, ja, ja.",1850.4,1851.28
"Oh, dit is hem.",1853.28,1854.42
Dit is de bocca.,1854.42,1855.38
Kijk hoe jong hij is.,1855.68,1857.14
"Ja, vet, hè?",1857.56,1858.24
Wauw.,1859.58,1860.18
Jeurtje.,1860.18,1861.42
Spannend.,1861.74,1862.46
Go inside?,1862.9,1863.68
"Yes, can we go inside?",1863.68,1864.96
Go?,1865.5,1865.82
Ja?,1865.82,1866.04
All right.,1866.48,1867.6
"Tof, jongens.",1867.6,1868.84
Daar doemt vanuit de verte een fantastische rots op waar je in kon.,1869.06,1873.38
En dat leek inderdaad op een soort haaienbek met tanden.,1873.46,1876.44
"Het zag er prachtig uit. 1-1-3, Klaas. 1, 1, 3.",1876.66,1882.96
"En inderdaad, daar was een kist, maar een kist met een slot erop.",1883.18,1888.08
"En toen kwamen die cijfers van pas. 1, 1, 3, klik, open.",1888.46,1893.56
Hebben!,1894.08,1894.66
"Wat zit erin, Klaas?",1895.22,1896.82
En hoeveel?,1898.42,1899.6
Duizend euro!,1900.3,1902.42
Rondje van de zaak.,1903.66,1906.36
Dit is een mooie eventoon.,1906.8,1908.22
Weet je wie erop staat?,1908.22,1909.42
Ellie!,1909.4,1910.68
"Ellie, rust!",1910.68,1912.1
Ellie!,1912.36,1913.08
Ellie!,1913.08,1913.72
Een lekker middagje op zee.,1918.02,1925.72
En het heeft volgens mij nog geld opgeleverd voor de pot ook.,1926.44,1928.56
Ben ik meester?,1929.02,1929.82
Ik heb Ellie na aan het hart liggen.,1929.82,1932.22
Je hebt Ellie na aan het hart liggen.,1932.28,1933.48
Laten we zien.,1933.48,1933.98
Tada!,1934.74,1935.16
"Duizend euro, gefeliciteerd!",1935.16,1937.76
Goed gedaan.,1937.4,1938.54
Lekker dan.,1938.54,1938.96
Knap.,1938.96,1939.82
"En dat allemaal dankzij, nou, dankzij wat eigenlijk?",1940.42,1942.76
"Heldere communicatie, goede samenwerking.",1942.84,1945.02
"Ja, geloof het wel.",1945.84,1947.28
Ja.,1947.28,1947.6
"Jullie beginnen in vorm te raken, heb ik het idee, of niet?",1948.18,1950.5
Tijd.,1950.52,1951.06
We hebben het wel nodig ook.,1951.06,1952.62
"En het komt ook goed van pas, want morgen draait ook alles... om goede samenwerking en heldere communicatie.",1952.88,1958.7
Tot morgen.,1959.1,1960.34
Tot morgen.,1960.72,1962.38
Ik wil u een hele mooie witte wijn. 2014.,1967.4,1972.0
"We zitten sinds kort in een appartement, dat is toch anders dan een hotel.",1973.24,1978.08
We zijn eigenlijk een soort gezin geworden.,1978.16,1979.9
Ik moet wel gelijk eerlijk zeggen dat ik tot nu toe... de huiselijke taakjes vredelijk weet te ontwijken.,1981.78,1988.36
"Mevrouw Nariks, mag ik met u proosten?",1988.46,1990.3
Het is heel onwerkelijk om hier met z'n allen te zitten. alle te zitten.,1990.98,1994.02
"Er zit ook een soort filmlocatie, lijkt wel soms.",1994.02,1997.58
Klaas.,1997.64,1997.86
"Nee, ik niet.",1997.86,1998.36
Ik schenk het in.,1998.36,1999.14
"Ja, het zit in mijn knollet aan.",1999.54,2001.64
Al het geld was opgerold en ik vind dat niet netjes.,2005.0,2009.98
"Je moet geld natuurlijk, zeker als je ervoor moet passen, moet je dat een beetje netjes behandelen.",2010.02,2014.74
Dus ik heb het eerst laten drogen en toen heb ik het gestreken.,2015.28,2018.52
"En de penningmeester die met kartonnen enveloppen werkt, is natuurlijk een penningmeester van helemaal niks.",2019.14,2023.06
"Dus dit is hem, de zwarte nepledere penningmeesteresse, portefeuille.",2023.4,2028.98
En ik ga er ook mee onder de douche en ik ga er mee slapen.,2029.22,2031.6
"Want niemand, niemand, niemand komt aan deze centen.",2031.68,2035.22
Helemaal niemand.,2035.22,2036.02
We kwamen aan bij een prachtige brug.,2053.4,2060.84
"Het was een wandelbrug, een loopbrug, maar echt gigantisch lang.",2060.92,2064.88
"Ja, daar liepen allemaal mensen gezellig met schattige kindjes en gezinnen.",2066.0,2069.48
"Ze liepen daar te wandelen naar een eiland met tassen, met lekker drinken.",2069.56,2074.02
Het leek me echt zo'n heerlijke plek waar je als je in dat stadje woont... als je s'avonds gaat kuieren en romantische afspraakjes hebt.,2074.28,2080.24
"Nou ja, gewoon een prachtig plaatje.",2080.86,2083.2
En toen volgde de opdracht.,2083.4,2085.32
Goedemiddag.,2085.88,2086.42
Dit wordt de brug naar nergens genoemd door de lokale bevolking van Samana.,2087.36,2092.58
Jullie gaan zometeen verspreid op deze brug staan.,2093.2,2095.8
Aan het begin en helemaal aan het einde vinden jullie een verhaal.,2096.02,2100.38
En misschien raden jullie het al.,2103.14,2105.56
Die verhalen moeten jullie van plek laten wisselen.,2106.16,2109.26
Dus het verhaal van het begin moet naar het einde.,2109.84,2111.94
Het verhaal van het einde moet naar het begin.,2111.92,2114.18
Dat doen jullie in estafette vorm.,2114.94,2116.4
Dat betekent dat je alleen met de persoon direct voor of direct achter je mag communiceren.,2116.82,2121.06
Succes.,2121.94,2122.52
Alle kandidaten stonden op vaste posten op de brug en moesten die twee verhalen doorgeven aan elkaar.,2124.6,2131.92
"Dus we hadden allemaal een gedeelte van de brug waar we mochten bewegen, maar we mochten niet buiten ons vak komen, om het zo maar te zeggen.",2132.22,2138.82
Wij moesten mondeling zorgen dat dat verhaal van de linkerkant rechts op het bord goed uitgeschreven werd en vice versa.,2138.68,2145.88
Meervoudige persoonlijkheidsstoornis is volgens de vandalen met 38 letters het langste woord in de Nederlandse taal.,2148.48,2155.62
"Meervoudigheid, Jezus.",2155.84,2157.42
"Ik wilde dolgraag het begin zijn, want taal is zeg maar helemaal mijn ding.",2157.86,2162.62
En voor de rest vind ik het ook gewoon fijn om in ieder geval zelf de controle te hebben over wat we aan het doen zijn.,2162.68,2169.14
"Ik wilde heel graag bij een bord staan, zodat ik het verhaal kon lezen, dat ik het goed kon overbrengen.",2171.0,2180.58
"Om dan de volgende in de ketting goed te instrueren, echt daarin te rammen.",2180.62,2184.26
"En ik zag de tekst en ik dacht, nou gelukkig, hij is niet zo lang.",2184.84,2187.82
"Het langste woord dat je met je linkerhand aan de linkerkant van je toetsenbord kunt typen, is niet stewardess.",2187.78,2196.18
"Het langste woord dat je met je linkerhand aan de linkerkant van het dashboard kunt typen, toetsenbord, is niet stewardess.",2197.06,2206.18
"Dit was eigenlijk wel de opdracht waar ik me een beetje, nou zorg is een groot woord, maar waarvan ik dacht, hm, dit zou ik wel eens wat minder kunnen doen dan de andere.",2206.54,2214.38
"Het langste woord dat je met je linkerhand aan de linkerkant van het toetsenbord kan typen, is niet stewardess.",2213.78,2220.44
Ja.,2220.58,2220.7
Top.,2220.7,2221.7
Meervoudige persoonlijkheidsstoornis is volgens de Vandalen met 38 letters het langste woord in de Nederlandse taal.,2222.68,2230.78
Meervoudige persoonlijkheidsstoornis is volgens de Vandalen met 38 letters het langste woord in de Nederlandse taal.,2231.04,2241.2
Nog één keer.,2241.32,2241.74
Dat zijn mensen van...,2241.78,2242.54
"Er komt een radio bij, er zijn acteurs bij, er zijn presentatoren bij.",2242.54,2246.74
"Ja, als er iets moet lukken, is het het onthouden van tekst en het doorgeven.",2247.18,2251.7
Bam!,2251.88,2252.12
"Het langste woord dat je met je linkerhand... aan de linkerkant van je toetsenbord kan typen, is niet stuubeles.",2254.3,2259.56
Ik vond het geweldig om te doen.,2260.12,2263.2
Aan de ene kant had ik taken en aan de andere kant Tim.,2263.24,2265.64
"En Tim merk je gewoon, die is ook televisiepresentator... en die doet dat vaker. dat je met je linkerhand aan de linkerkant van het toetsenbord kan typen... is niet stewardess.",2265.86,2276.26
Niet stewardess?,2276.56,2277.44
Ja.,2277.44,2277.82
Oké.,2277.82,2278.2
Dat is het?,2278.8,2279.26
"Ja, dan wacht ik even op jou.",2279.26,2280.74
"Ja, is goed.",2280.8,2281.24
"Ik dacht, ik doe gewoon net alsof ik programma's sta te maken... over de dikke vandalen.",2281.66,2285.56
Dan kom ik er denk ik wel uit.,2286.4,2288.52
Luister goed.,2288.72,2289.34
Ja.,2289.34,2289.54
Meervoudige persoonlijkheidsstoornis... is volgens de vandalen met 38 letters... het langste woord in de Nederlandse taal.,2290.14,2298.64
Wacht.,2298.54,2299.7
Meervoudige persoonlijkheidsstoornis is één woord.,2299.7,2301.88
Meervoudige persoonlijkheidsstoornis is volgens Van Dalen...,2302.1,2304.34
Met 38 letters het langste woord in de Nederlandse taal.,2304.78,2307.6
Ik vond het een hele leuke opdracht.,2307.76,2309.26
Ik ben wel gewend tekstjes te onthouden.,2309.26,2311.44
Ik vond het een uitdaging.,2311.52,2312.82
Het geren over die bruggen was leuk.,2312.82,2314.66
"Ja, mag ik?",2314.8,2315.44
"Ja, hoor.",2315.44,2315.82
Meervoudige persoonlijkheidsstoornis is met 38 woorden volgens Van Dalen...,2316.12,2321.42
Woorden of letters?,2321.48,2322.14
Letters.,2322.14,2322.56
Volgens Van Dalen het langste woord in de Nederlandse taal.,2323.02,2326.08
"Oké, het langste woord dat je met je linkerhand aan de linkerkant van het toetsenbord kan typen, is niet stuwardes.",2325.54,2331.96
"Ja, het was niet zo heel erg moeilijk, maar het ging van rechts naar links en van links naar rechts tegelijk.",2332.22,2339.08
"De woorden waarzegster, zeveraars, wereldverbeteraars, aardgasreserves en...",2339.2,2349.18
"Nog één, zijn lang.",2350.38,2351.48
Vergeet-ie maar.,2351.48,2352.4
De woorden.,2352.54,2353.24
Waarzegster.,2353.24,2355.1
Denk aan de handpalmen.,2355.22,2356.36
"Ja, waarzegster.",2356.36,2357.24
Zevenaars.,2357.3,2358.0
Zevenaars.,2358.0,2358.9
Wereldverbeteraars in aardgasreserves zijn langer.,2359.44,2362.38
Elektriciteitsproductiemaatschappij... is met 35 letters het eenalangste woord in de Nederlandse taal... volgens de Vandale.,2362.74,2371.72
Elektriciteitsproductiemaatschappij is met 35 letters... volgens de Vandale...,2372.0,2378.3
"Nee, die komt als laatste.",2378.3,2379.08
Met 35 letters het langste woord in de Nederlandse taal volgens de Vandalen.,2379.54,2385.98
"Wat heel moeilijk was, is dat Vandalen moest komen voor volgens in de Nederlandse taal of juist andersom.",2386.14,2392.02
"Maar ik dacht, oké, die heb ik.",2392.08,2393.56
Dus al rennend ging ik naar Marjolein toe en gaf ik dat door.,2393.56,2396.88
Mag ik hem eerst zeggen?,2397.0,2398.0
"Maar ja, dus we zaten elkaar ontzettend in de weg met het overgeven.",2398.04,2401.36
Elektriciteitsproductiemaatschappij is met 35 letters het eenalangste woord in de Nederlandse taal volgens de Vandalen.,2401.44,2410.02
Zat Vandalen aan de achterkant?,2410.1,2411.22
De eerste keer vond ik het moeilijkste.,2411.28,2412.72
Toen kwam Rob met een zin en ik had mijn zin gerepeteerd.,2412.98,2416.14
Toen zat die van hem even in de weg.,2416.6,2417.92
"Oh, kut.",2418.48,2419.38
Met je linkerhand aan de linkerkant van het toetsenbord...,2420.3,2427.2
"God, ik had het niet zo...",2427.42,2428.16
Met je linkerhand kan je typen aan de linker...,2428.64,2430.68
Wat je aan de linkerkant van het toetsenbord kan typen met je linkerhand is niet stewardess.,2430.72,2435.88
Wat je aan de linkerkant van je toetsenbord kan typen met je linkerhand...,2436.0,2439.84
Linkerkant met je linkerhand.,2439.84,2441.64
"Lange woorden zijn namelijk waarzegster, zeveren, wereldbol.",2441.74,2449.86
"Werken onder druk, snel teksten leren is iets wat ik in mijn werk vaak tegenkom.",2450.08,2454.86
Taken daarentegen was echt een ander verhaal.,2454.72,2457.22
Want die kreeg van Cecile een soort van les met gebaren om het maar beter te kunnen onderhouden.,2457.3,2462.46
Wereldbol en aardgasreserves zijn namelijk langere woorden.,2462.82,2467.34
"Ja, het zijn namelijk langere woorden, ja.",2467.76,2469.22
"Ja, je net zei langer, hè?",2469.82,2470.72
"Ja, klopt.",2470.72,2471.4
Dus één van twee.,2471.4,2472.2
Langere woorden.,2472.36,2473.6
Yes. 24-letterwoord bestaat uit 24 letters.,2473.6,2478.04
"Ik had het voordeel dat ik het kon zien, kon visualiseren, kon onthouden.",2478.4,2484.66
Ik kon het onthouden.,2483.72,2484.68
Dus ik liet Rob eerst zijn tekst aan mij geven.,2484.68,2488.16
En dan lepelde ik die van mij op.,2488.58,2490.24
Wat je aan de linkerkant van je toetsenbord kunt toetsen met je linkerhand... is niet stewardess.,2490.66,2496.0
Wat je aan de linkerkant van je toetsenbord kunt toetsen met je linkerhand... is niet stewardess.,2496.28,2502.52
Exact.,2502.78,2503.02
I got it.,2503.02,2503.68
Oké. 24 letterwoord bestaat uit 24 letters. 24 letterwoord bestaat uit 24 letters.,2503.68,2511.34
"Oké, doei.",2511.34,2511.58
Waar zegt ze?,2511.56,2512.5
Zevenaar.,2512.5,2514.08
Waar zegt ze?,2514.26,2514.84
Dit is meer wereldbol.,2514.84,2516.54
"Ja, maar dit is zevenaar.",2516.82,2517.86
Oké.,2517.86,2518.2
Wat je aan de linkerkant van je toetsenbord kunt toetsen met je linkerhand... is niet... drie woorden.,2522.42,2530.16
Waar zegt ze?,2530.88,2532.48
"Zevenaar, wereldbol... en aardgasreserves zijn namelijk langer.",2532.48,2538.18
Die vier woorden vond ik heel leuk.,2538.3,2539.92
Ik zag namelijk een soort van hele nare waarzegster voor me.,2539.56,2544.28
Want dat was die zeveraar.,2544.32,2545.66
En die zat te kijken in een soort aardbol waar die aardgas dan in zat.,2546.02,2549.06
"Waarzegster, zeveraar, wereldbol en aardgasreserves.",2549.1,2555.14
Zijn namelijk langer.,2555.2,2556.04
Daar maakte ik een soort dansuitbeeldingslevendig stukje van.,2556.36,2560.4
Maar volgens mij werkte het.,2560.5,2562.24
"Engelse woord voor typemachine, typewriter... is het een na langste woord dat je kunt maken met de bovenste rij van je toetsenbord.",2562.6,2572.4
Dus van je toetsenbord.,2572.54,2573.74
Van je toetsenbord.,2574.1,2574.86
"Het Engelse woord voor typemachine, typewriter, is het een na langste woord... typewriter, is het een na langste woord dat je met de bovenste rij is...",2575.04,2586.42
Het een na langste woord?,2587.42,2588.6
Dat je kunt maken op de bovenste rij van je toetsenbord.,2588.7,2590.98
"Oh, is het een na langste woord dat je kunt maken op de bovenste rij van je toetsenbord?",2591.28,2594.46
Het ging allemaal een beetje over een toetsenbord van een computer of van een wat dan ook.,2594.46,2598.0
En met welke letters je met je linkerhand kon maken of met je rechterhand.,2598.34,2602.64
"Het Engelse woord voor type machine, typewriter, is het een na langste woord dat je kunt maken op de bovenste rij van je toetsenbord.",2602.68,2614.14
We zijn hartstikke goed bezig.,2614.22,2615.64
"Annemieke was in vorm, Marjolein was vrij rustig.",2615.64,2619.76
Die was niet heel erg ingewikkeld bezig.,2619.88,2621.84
Dus dat ging eigenlijk van beide kanten heel erg goed.,2621.84,2624.08
Het langste woord dat je met je rechterhand kunt maken aan de rechterhelft van het toetsenbord is 11 letters lang.,2624.46,2634.5
Namelijk minimumloon.,2634.68,2635.76
Het langste woord dat je met je rechterhand kunt maken aan de rechterhand van het toetsenbord is 11 letters lang.,2636.5,2644.1
Namelijk minimumloon.,2644.32,2645.54
Nog één ding.,2645.82,2646.68
Het woord dat ik vergeet was voor secretaressendag.,2646.68,2648.38
Dat moet voor aardgasgezegd worden.,2648.46,2650.04
Secretressendag.,2650.1,2651.16
Secretressendag.,2651.44,2653.02
"Oké, secretaressendag.",2653.1,2654.1
Ik was het woord secretaressendag vergeten.,2654.1,2655.76
"Ik dacht, dat kan ik makkelijk nog een keer overbrengen aan taken.",2655.86,2659.64
Die kan dat dan heel makkelijk aan Klaas zeggen.,2659.72,2661.34
Klaas!,2661.4,2661.8
Zodat ze het er nog even tussen zetten.,2661.8,2664.14
Voor aardgas hoort nog secretaressendag.,2664.38,2666.6
Ik meen dat ik het heel duidelijk heb doorgegeven aan Klaas.,2666.72,2669.32
Dat Cecile en ik een woordje vergeten waren.,2669.7,2672.5
Aardgas hoort nog voor secretaressendag.,2672.7,2675.04
"Oké, dat is het.",2675.36,2676.38
Ja.,2676.38,2676.72
Aardgas.,2677.24,2677.86
Aardgas.,2677.86,2678.46
Komt voor secretaressendag.,2678.46,2680.2
Aardgas komt voor secretaressendag.,2680.32,2682.06
Ja.,2682.06,2682.2
"Annemieke, aardgas komt voor Secretarissendag.",2683.1,2687.28
Secretarissendag?,2687.5,2688.84
Dag.,2688.84,2690.12
Ik heb geen Secretarissendag.,2690.42,2692.54
Maar ik heb helemaal geen Secretarissendag.,2692.92,2695.56
"Ik dacht, wat loopt ze nou?",2696.04,2697.48
Dit is gewoon een zin.,2697.48,2699.08
Aardgas komt voor Secretarissendag.,2699.24,2703.24
"Maar ik dacht alleen maar, schrijf het op.",2703.36,2705.78
Ik heb helemaal geen Secretarissendag.,2705.84,2706.94
Whatever.,2707.16,2707.9
"Wat ik hoor, schrijf ik op.",2707.9,2709.5
En laten we hopen dat er in godsnaam iets goed is.,2709.92,2711.96
Ik wil graag een zin uit jullie oeuvre voordragen.,2713.1,2724.92
"Het Engelse woord voor typemachine, typewriter, is het eenalangste woord dat je kunt maken op de bovenste rij van je toetsenbord.",2725.8,2733.8
Kennen jullie dat?,2734.56,2735.3
Ja.,2735.3,2735.64
Mooi.,2735.64,2736.4
Het is de enige zin die goed was.,2736.82,2738.42
Nee.,2738.42,2738.66
De enige.,2738.66,2740.22
Echt?,2740.22,2740.94
Jullie hebben zelfs een zin verzonnen.,2740.96,2743.22
Aardgas voor secretaressedag.,2743.58,2745.56
Wat die vandaan komt?,2746.18,2747.18
Jezus.,2747.82,2749.12
"Nee, dat is niet waar.",2749.12,2750.52
Kom op.,2750.52,2750.82
"Afijn, deze 1000 euro die ik zo graag kwijt wilde...",2752.56,2756.58
"Kom op, daar.",2756.64,2757.18
"Nee, dat kan niet.",2757.18,2759.32
Fijne avond.,2759.88,2760.86
"Ja, thanks.",2760.86,2761.5
Jezus.,2761.8,2762.04
Ik wist zo nog dat we het goed hadden.,2762.04,2764.7
Ik denk dat het mollen vanaf nu echt is begonnen.,2764.96,2768.04
"Het wordt nu steeds duidelijker, zeg maar.",2768.18,2769.92
"Ja, dat er geprobeerd wordt om alles te saboteren.",2770.96,2773.9
"Nee, jij zei tegen mij, aardgas komt voor secretaressen.",2774.02,2777.12
Geef dat nog even door.,2777.3,2778.64
Dat is wat je zei.,2778.64,2779.36
En het was nog aardgasreserves?,2779.68,2781.64
Ja.,2781.64,2782.2
Eigenlijk komt het erop neer dat we bij de opdracht van de tijdrit... beter hadden moeten kijken.,2782.9,2788.46
En bij deze opdracht hadden we beter moeten luisteren.,2789.0,2791.34
We kunnen dus echt gewoon helemaal niks. *** Tijd voor de test.,2791.7,2810.6
Twintig vragen over de identiteit en het doen en laten van de mol.,2811.72,2815.5
